1.0000	Важливі символи щодо безпеки та застереження:	Important safety symbols and precautions:
1.0000	Загальний огляд холодильника	Refrigerator at a glance
1.0000	Холодильник видає незвичні звуки?	Do you hear abnormal sounds from the refrigerator?
1.0000	Увімкнення та вимкнення льодогенератора	Turning on or off the ice maker
1.0000	Панель функцій	Feature panel
1.0000	Додаткові вказівки щодо належного користування	Additional tips for proper usage
1.0000	Застереження щодо чищення	Cleaning cautions
1.0000	Важливі інструкції з техніки безпеки	Important safety precautions
1.0000	Покрокове встановлення	Step-by-step installation
1.0000	Зміст Зміст Інформація з техніки безпеки	Contents Contents Safety information
1.0000	Застереження щодо встановлення	Installation cautions
1.0000	Застереження щодо використання	Usage cautions
1.0000	Критично важливі попередження щодо експлуатації	Critical usage warnings
1.0000	Важлива інформація щодо інструкцій із безпеки	What you need to know about the safety instructions
1.0000	Особливі функції	Special features
1.0000	Панель диспенсера (стосується лише окремих моделей)	Dispenser panel (applicable models only)
1.0000	Заміна деталей	Replacement
1.0000	Критично важливі попередження щодо встановлення	Critical installation warnings
1.0000	Використання та догляд	Handle and care
1.0000	Знаки строгого попередження щодо транспортування і розміщення	Severe warning signs for transportation and site
1.0000	Режими роботи	Operations
1.0000	Скидання або скасування сигналу про заміну водяного фільтра	Resetting or dismissing the water filter replacement alarm
1.0000	Знімання дверцят для перенесення пристрою	Door removal for entrance
